,id,title,categories,abstract,doi,created,updated,authors
1590,2408.10524,xcb: an effective contextual biasing approach to bias cross-lingual   phrases in speech recognition,cs.cl cs.ai cs.sd eess.as,"contextualized asr models have been demonstrated to effectively improve the recognition accuracy of uncommon phrases when a predefined phrase list is available. however, these models often struggle with bilingual settings, which are prevalent in code-switching speech recognition. in this study, we make the initial attempt to address this challenge by introducing a cross-lingual contextual biasing(xcb) module. specifically, we augment a pre-trained asr model for the dominant language by integrating an auxiliary language biasing module and a supplementary language-specific loss, aimed at enhancing the recognition of phrases in the secondary language. experimental results conducted on our in-house code-switching dataset have validated the efficacy of our approach, demonstrating significant improvements in the recognition of biasing phrases in the secondary language, even without any additional inference overhead. additionally, our proposed system exhibits both efficiency and generalization when is applied by the unseen asru-2019 test set.",,2024-08-20,,"['xucheng wan', 'naijun zheng', 'kai liu', 'huan zhou']"
1591,2408.10525,mpgnet: learning move-push-grasping synergy for target-oriented grasping   in occluded scenes,cs.ro,"this paper focuses on target-oriented grasping in occluded scenes, where the target object is specified by a binary mask and the goal is to grasp the target object with as few robotic manipulations as possible. most existing methods rely on a push-grasping synergy to complete this task. to deliver a more powerful target-oriented grasping pipeline, we present mpgnet, a three-branch network for learning a synergy between moving, pushing, and grasping actions. we also propose a multi-stage training strategy to train the mpgnet which contains three policy networks corresponding to the three actions. the effectiveness of our method is demonstrated via both simulated and real-world experiments.",,2024-08-20,,"['dayou li', 'chenkun zhao', 'shuo yang', 'ran song', 'xiaolei li', 'wei zhang']"
1592,2408.10527,edgenat: transformer for efficient edge detection,cs.cv cs.ai,"transformers, renowned for their powerful feature extraction capabilities, have played an increasingly prominent role in various vision tasks. especially, recent advancements present transformer with hierarchical structures such as dilated neighborhood attention transformer (dinat), demonstrating outstanding ability to efficiently capture both global and local features. however, transformers' application in edge detection has not been fully exploited. in this paper, we propose edgenat, a one-stage transformer-based edge detector with dinat as the encoder, capable of extracting object boundaries and meaningful edges both accurately and efficiently. on the one hand, edgenat captures global contextual information and detailed local cues with dinat, on the other hand, it enhances feature representation with a novel scaf-mla decoder by utilizing both inter-spatial and inter-channel relationships of feature maps. extensive experiments on multiple datasets show that our method achieves state-of-the-art performance on both rgb and depth images. notably, on the widely used bsds500 dataset, our l model achieves impressive performances, with ods f-measure and ois f-measure of 86.0%, 87.6% for multi-scale input,and 84.9%, and 86.3% for single-scale input, surpassing the current state-of-the-art edter by 1.2%, 1.1%, 1.7%, and 1.6%, respectively. moreover, as for throughput, our approach runs at 20.87 fps on rtx 4090 gpu with single-scale input. the code for our method will be released soon.",,2024-08-20,,"['jinghuai jie', 'yan guo', 'guixing wu', 'junmin wu', 'baojian hua']"
1593,2408.10528,"nomatterxai: generating ""no matter what"" alterfactual examples for   explaining black-box text classification models",cs.cl,"in explainable ai (xai), counterfactual explanations (ces) are a well-studied method to communicate feature relevance through contrastive reasoning of ""what if"" to explain ai models' predictions. however, they only focus on important (i.e., relevant) features and largely disregard less important (i.e., irrelevant) ones. such irrelevant features can be crucial in many applications, especially when users need to ensure that an ai model's decisions are not affected or biased against specific attributes such as gender, race, religion, or political affiliation. to address this gap, the concept of alterfactual explanations (aes) has been proposed. aes explore an alternative reality of ""no matter what"", where irrelevant features are substituted with alternative features (e.g., ""republicans"" -> ""democrats"") within the same attribute (e.g., ""politics"") while maintaining a similar prediction output. this serves to validate whether ai model predictions are influenced by the specified attributes. despite the promise of aes, there is a lack of computational approaches to systematically generate them, particularly in the text domain, where creating aes for ai text classifiers presents unique challenges. this paper addresses this challenge by formulating ae generation as an optimization problem and introducing momatterxai, a novel algorithm that generates aes for text classification tasks. our approach achieves high fidelity of up to 95% while preserving context similarity of over 90% across multiple models and datasets. a human study further validates the effectiveness of aes in explaining ai text classifiers to end users. all codes will be publicly available.",,2024-08-20,,"['tuc nguyen', 'james michels', 'hua shen', 'thai le']"
1594,2408.10531,leveraging temporal contexts to enhance vehicle-infrastructure   cooperative perception,cs.ro,"infrastructure sensors installed at elevated positions offer a broader perception range and encounter fewer occlusions. integrating both infrastructure and ego-vehicle data through v2x communication, known as vehicle-infrastructure cooperation, has shown considerable advantages in enhancing perception capabilities and addressing corner cases encountered in single-vehicle autonomous driving. however, cooperative perception still faces numerous challenges, including limited communication bandwidth and practical communication interruptions. in this paper, we propose ctce, a novel framework for cooperative 3d object detection. this framework transmits queries with temporal contexts enhancement, effectively balancing transmission efficiency and performance to accommodate real-world communication conditions. additionally, we propose a temporal-guided fusion module to further improve performance. the roadside temporal enhancement and vehicle-side spatial-temporal fusion together constitute a multi-level temporal contexts integration mechanism, fully leveraging temporal information to enhance performance. furthermore, a motion-aware reconstruction module is introduced to recover lost roadside queries due to communication interruptions. experimental results on v2x-seq and v2x-sim datasets demonstrate that ctce outperforms the baseline quest, achieving improvements of 3.8% and 1.3% in map, respectively. experiments under communication interruption conditions validate ctce's robustness to communication interruptions.",,2024-08-20,,"['jiaru zhong', 'haibao yu', 'tianyi zhu', 'jiahui xu', 'wenxian yang', 'zaiqing nie', 'chao sun']"
1595,2408.10532,"nutrifyai: an ai-powered system for real-time food detection,   nutritional analysis, and personalized meal recommendations",cs.cv cs.ai,"with diet and nutrition apps reaching 1.4 billion users in 2022 [1], it's no surprise that health apps like myfitnesspal, noom, and calorie counter, are surging in popularity. however, one major setback [2] of nearly all nutrition applications is that users must enter food data manually, which is time-consuming and tedious. thus, there has been an increasing demand for applications that can accurately identify food items, analyze their nutritional content, and offer dietary recommendations in real-time. this paper introduces a comprehensive system that combines advanced computer vision techniques with nutrition analysis, implemented in a versatile mobile and web application. the system is divided into three key components: 1) food detection using the yolov8 model, 2) nutrient analysis via the edamam nutrition analysis api, and 3) personalized meal recommendations using the edamam meal planning and recipe search apis. designed for both mobile and web platforms, the application ensures fast processing times with an intuitive user interface, with features such as data visualizations using chart.js, a login system, and personalized settings for dietary preferences, allergies, and cuisine choices. preliminary results showcase the system's effectiveness, making it a valuable tool for users to make informed dietary decisions.",,2024-08-20,,"['michelle han', 'junyao chen']"
1596,2408.10536,"synergistic approach for simultaneous optimization of monolingual,   cross-lingual, and multilingual information retrieval",cs.ir cs.cl,"information retrieval across different languages is an increasingly important challenge in natural language processing. recent approaches based on multilingual pre-trained language models have achieved remarkable success, yet they often optimize for either monolingual, cross-lingual, or multilingual retrieval performance at the expense of others. this paper proposes a novel hybrid batch training strategy to simultaneously improve zero-shot retrieval performance across monolingual, cross-lingual, and multilingual settings while mitigating language bias. the approach fine-tunes multilingual language models using a mix of monolingual and cross-lingual question-answer pair batches sampled based on dataset size. experiments on xquad-r, mlqa-r, and miracl benchmark datasets show that the proposed method consistently achieves comparable or superior results in zero-shot retrieval across various languages and retrieval tasks compared to monolingual-only or cross-lingual-only training. hybrid batch training also substantially reduces language bias in multilingual retrieval compared to monolingual training. these results demonstrate the effectiveness of the proposed approach for learning language-agnostic representations that enable strong zero-shot retrieval performance across diverse languages.",,2024-08-20,,"['adel elmahdy', 'sheng-chieh lin', 'amin ahmad']"
1597,2408.10537,subspace prototype guidance for mitigating class imbalance in point   cloud semantic segmentation,cs.cv,"point cloud semantic segmentation can significantly enhance the perception of an intelligent agent. nevertheless, the discriminative capability of the segmentation network is influenced by the quantity of samples available for different categories. to mitigate the cognitive bias induced by class imbalance, this paper introduces a novel method, namely subspace prototype guidance (\textbf{spg}), to guide the training of segmentation network. specifically, the point cloud is initially separated into independent point sets by category to provide initial conditions for the generation of feature subspaces. the auxiliary branch which consists of an encoder and a projection head maps these point sets into separate feature subspaces. subsequently, the feature prototypes which are extracted from the current separate subspaces and then combined with prototypes of historical subspaces guide the feature space of main branch to enhance the discriminability of features of minority categories. the prototypes derived from the feature space of main branch are also employed to guide the training of the auxiliary branch, forming a supervisory loop to maintain consistent convergence of the entire network. the experiments conducted on the large public benchmarks (i.e. s3dis, scannet v2, scannet200, toronto-3d) and collected real-world data illustrate that the proposed method significantly improves the segmentation performance and surpasses the state-of-the-art method. the code is available at \url{https://github.com/javion11/pointlibr.git}.",,2024-08-20,,"['jiawei han', 'kaiqi liu', 'wei li', 'guangzhi chen']"
1598,2408.10539,training matting models without alpha labels,cs.cv,"the labelling difficulty has been a longstanding problem in deep image matting. to escape from fine labels, this work explores using rough annotations such as trimaps coarsely indicating the foreground/background as supervision. we present that the cooperation between learned semantics from indicated known regions and proper assumed matting rules can help infer alpha values at transition areas. inspired by the nonlocal principle in traditional image matting, we build a directional distance consistency loss (ddc loss) at each pixel neighborhood to constrain the alpha values conditioned on the input image. ddc loss forces the distance of similar pairs on the alpha matte and on its corresponding image to be consistent. in this way, the alpha values can be propagated from learned known regions to unknown transition areas. with only images and trimaps, a matting model can be trained under the supervision of a known loss and the proposed ddc loss. experiments on am-2k and p3m-10k dataset show that our paradigm achieves comparable performance with the fine-label-supervised baseline, while sometimes offers even more satisfying results than human-labelled ground truth. code is available at \url{https://github.com/poppuppy/alpha-free-matting}.",,2024-08-20,,"['wenze liu', 'zixuan ye', 'hao lu', 'zhiguo cao', 'xiangyu yue']"
1599,2408.10541,the instance-centric transformer for the rvos track of lsvos challenge:   3rd place solution,cs.cv,"referring video object segmentation is an emerging multi-modal task that aims to segment objects in the video given a natural language expression. in this work, we build two instance-centric models and fuse predicted results from frame-level and instance-level. first, we introduce instance mask into the detr-based model for query initialization to achieve temporal enhancement and employ sam for spatial refinement. secondly, we build an instance retrieval model conducting binary instance mask classification whether the instance is referred. finally, we fuse predicted results and our method achieved a score of 52.67 j&f in the validation phase and 60.36 j&f in the test phase, securing the final ranking of 3rd place in the 6-th lsvos challenge rvos track.",,2024-08-20,,"['bin cao', 'yisi zhang', 'hanyi wang', 'xingjian he', 'jing liu']"
